account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
KENTHO,144283.9,0.0,166.98000000000002,0.0,7,-100.0,0.0,33669373.61000002,0.4031318416511107
BALSAM,143800.53,0.0,0.0,0.0,8,0.0,0.0,33813174.14000002,0.40485360140704774
SINMAN,143526.46,10799.18,21569.120000000003,195.98,7,-49.9,1.81,33956700.600000024,0.4065720796542427
SKRLEO,143194.93,4728.39,16437.18,218.97,8,-71.2,4.63,34099895.53000002,0.40828658840972654
PULPETPLA,142142.97,0.0,0.0,0.0,8,0.0,0.0,34242038.50000002,0.4099885017847006
HUDCHR,141545.95,0.0,0.0,0.0,8,0.0,0.0,34383584.450000025,0.41168326688971013
NICMIC,141517.34,0.0,0.0,0.0,7,0.0,0.0,34525101.79000003,0.41337768944002523
PETJAS,141044.2,0.0,0.0,0.0,7,0.0,0.0,34666145.99000003,0.4150664469666375
ANDBRE,140725.28,0.0,7450.96,0.0,9,-100.0,0.0,34806871.27000003,0.41675138598422645
MYCRON,140724.99,0.0,0.0,0.0,8,0.0,0.0,34947596.260000035,0.41843632152957283
SMIDAV,140484.55,0.0,0.0,0.0,6,0.0,0.0,35088080.81000003,0.4201183782265886
GLOANT,139577.84,4109.33,11223.09,119.99,8,-63.4,2.92,35227658.650000036,0.4217895786577179
GORMIC,139568.88,0.0,484.0,0.0,7,-100.0,0.0,35367227.53000004,0.4234606718085234
PANANE,139147.44,179.97,16195.34,0.0,8,-98.9,0.0,35506374.970000036,0.42512671895267273
BOYMIC,138484.46,10322.45,36899.67,0.0,7,-72.0,0.0,35644859.43000004,0.4267848280712599
RYNJOS,138324.87,0.0,0.0,0.0,8,0.0,0.0,35783184.300000034,0.4284410263788128
BOUMEL,138090.61,0.0,0.0,0.0,8,0.0,0.0,35921274.91000003,0.43009441983272284
ROMJUL,135349.37,0.0,0.0,0.0,8,0.0,0.0,36056624.28000003,0.4317149917336569
MILJAM,134814.36,0.0,2861.99,0.0,8,-100.0,0.0,36191438.64000003,0.4333291578258848
ONIJEF,134366.35,0.0,3615.69,0.0,7,-100.0,0.0,36325804.99000003,0.434937959782193
CANMIC,133813.28,0.0,0.0,0.0,8,0.0,0.0,36459618.27000003,0.43654013969289246
STUKRI,131924.15,0.0,4581.82,0.0,8,-100.0,0.0,36591542.42000003,0.43811970057702965
ORSSTE,131786.74,0.0,0.0,0.0,8,0.0,0.0,36723329.16000003,0.4396976162168269
YALMAR,131544.2,0.0,0.0,0.0,8,0.0,0.0,36854873.36000004,0.4412726278644678
LEBRAFB,131099.72,8810.79,37760.729999999996,133.5,9,-76.7,1.52,36985973.080000035,0.44284231764176285
VERVIN,128688.17,3528.6499999999996,7668.1,0.0,8,-54.0,0.0,37114661.25000004,0.4443831333270123
MAZSUS,127881.65,0.0,0.0,0.0,7,0.0,0.0,37242542.900000036,0.44591429234633456
FLESCO,127077.0,0.0,0.0,0.0,9,0.0,0.0,37369619.900000036,0.447435817089708
HOFSTENW,126880.12999999999,0.0,0.0,0.0,7,0.0,0.0,37496500.03000004,0.4489549846592716
MACHAZ,126347.19,8293.43,22752.97,591.0,6,-63.6,7.13,37622847.220000036,0.45046777120475734
ZOLMAR,124595.9,6078.96,4302.64,0.0,6,41.3,0.0,37747443.120000035,0.4519595891165185
FLYDONAO4,124033.53,0.0,0.0,0.0,5,0.0,0.0,37871476.650000036,0.45344467363144214
PPSTOMAR,123296.51999999999,0.0,0.0,0.0,7,0.0,0.0,37994773.17000004,0.4549209337410752
CERGAI,122509.31,846.6500000000001,9386.56,0.0,8,-91.0,0.0,38117282.48000004,0.45638776838824663
KORMIK,120829.19,22681.239999999998,49501.06,1413.98,9,-54.2,6.23,38238111.67000004,0.45783448653792563
CZEBOH,120239.92,0.0,0.0,0.0,8,0.0,0.0,38358351.59000004,0.4592741492103309
COFJER,120107.9,0.0,15155.75,0.0,8,-100.0,0.0,38478459.49000004,0.4607122311742159
DOUBRI,119695.43000000001,17996.9,50453.61,158.0,6,-64.3,0.88,38598154.92000004,0.46214537453150095
FIJPHI,119691.70999999999,10498.86,3861.94,0.0,7,171.9,0.0,38717846.63000004,0.46357847334829455
PETLEO,119465.55,0.0,0.0,0.0,8,0.0,0.0,38837312.18000004,0.4650088642947735
